Time,inflation,recession,unemployment,interest rates,ECB,Search_Index
2009-12-01,15,33,21,5,28,20.4
2010-01-01,20,42,22,6,28,23.6
2010-02-01,19,35,22,7,26,21.8
2010-03-01,20,34,29,7,28,23.6
2010-04-01,20,29,25,8,28,22.0
2010-05-01,44,38,27,6,34,29.8
2010-06-01,17,30,24,6,32,21.8
2010-07-01,11,35,28,6,26,21.2
2010-08-01,11,25,21,6,25,17.6
2010-09-01,14,29,21,6,26,19.2
2010-10-01,14,27,23,7,27,19.6
2010-11-01,18,27,24,7,30,21.2
2010-12-01,15,15,23,6,31,18.0
2011-01-01,24,17,15,5,27,17.6
2011-02-01,24,17,15,4,29,17.8
2011-03-01,21,21,13,4,30,17.8
2011-04-01,22,15,12,4,26,15.8
2011-05-01,24,20,12,4,29,17.8
2011-06-01,19,17,13,5,29,16.6
2011-07-01,20,19,11,5,27,16.4
2011-08-01,21,40,12,4,29,21.2
2011-09-01,21,33,11,4,31,20.0
2011-10-01,23,27,12,3,29,18.8
2011-11-01,28,26,14,4,33,21.0
2011-12-01,25,25,13,4,29,19.2
2012-01-01,22,21,13,4,34,18.8
2012-02-01,20,19,14,4,32,17.8
2012-03-01,22,21,13,4,30,18.0
2012-04-01,17,17,11,3,29,15.4
2012-05-01,22,25,16,4,31,19.6
2012-06-01,19,13,14,5,31,16.4
2012-07-01,17,17,11,5,36,17.2
2012-08-01,15,22,12,4,33,17.2
2012-09-01,24,21,14,4,37,20.0
2012-10-01,20,17,15,4,27,16.6
2012-11-01,20,22,14,3,29,17.6
2012-12-01,16,17,10,3,25,14.2
2013-01-01,20,18,14,4,29,17.0
2013-02-01,18,23,13,3,30,17.4
2013-03-01,18,12,13,4,30,15.4
2013-04-01,19,17,13,4,30,16.6
2013-05-01,17,23,13,4,29,17.2
2013-06-01,16,16,13,4,29,15.6
2013-07-01,13,12,13,4,32,14.8
2013-08-01,14,10,12,5,28,13.8
2013-09-01,14,10,12,4,31,14.2
2013-10-01,16,14,13,3,36,16.4
2013-11-01,19,12,12,5,38,17.2
2013-12-01,16,10,12,3,27,13.6
2014-01-01,19,11,13,4,39,17.2
2014-02-01,18,12,11,4,40,17.0
2014-03-01,19,15,11,4,34,16.6
2014-04-01,17,13,11,3,38,16.4
2014-05-01,19,13,14,4,38,17.6
2014-06-01,19,18,11,5,47,20.0
2014-07-01,13,8,11,4,39,15.0
2014-08-01,12,10,10,3,41,15.2
2014-09-01,16,14,10,4,48,18.4
2014-10-01,18,19,11,4,56,21.6
2014-11-01,20,19,12,5,50,21.2
2014-12-01,18,15,11,3,38,17.0
2015-01-01,25,16,12,5,62,24.0
2015-02-01,19,12,11,4,51,19.4
2015-03-01,19,12,13,5,61,22.0
2015-04-01,17,9,13,5,50,18.8
2015-05-01,15,13,13,5,41,17.4
2015-06-01,16,15,15,5,41,18.4
2015-07-01,13,15,14,4,52,19.6
2015-08-01,10,11,12,4,38,15.0
2015-09-01,15,17,12,5,41,18.0
2015-10-01,15,13,12,4,46,18.0
2015-11-01,17,15,14,5,46,19.4
2015-12-01,16,13,12,6,47,18.8
2016-01-01,16,21,15,5,44,20.2
2016-02-01,16,19,16,5,44,20.0
2016-03-01,17,16,12,4,47,19.2
2016-04-01,16,20,14,5,47,20.4
2016-05-01,15,17,13,4,41,18.0
2016-06-01,15,28,15,5,48,22.2
2016-07-01,11,14,12,5,41,16.6
2016-08-01,9,12,10,5,37,14.6
2016-09-01,13,17,12,4,41,17.4
2016-10-01,14,15,11,4,41,17.0
2016-11-01,18,19,15,5,45,20.4
2016-12-01,15,17,13,4,38,17.4
2017-01-01,20,18,14,4,41,19.4
2017-02-01,17,18,12,4,41,18.4
2017-03-01,20,17,13,4,50,20.8
2017-04-01,15,19,11,4,37,17.2
2017-05-01,16,17,13,6,45,19.4
2017-06-01,13,16,12,4,41,17.2
2017-07-01,11,14,11,4,43,16.6
2017-08-01,11,12,10,4,40,15.4
2017-09-01,13,13,9,5,42,16.4
2017-10-01,14,13,10,4,45,17.2
2017-11-01,16,14,12,4,40,17.2
2017-12-01,15,16,9,3,31,14.8
2018-01-01,19,14,11,4,38,17.2
2018-02-01,16,12,10,4,37,15.8
2018-03-01,16,16,11,4,41,17.6
2018-04-01,16,12,10,3,37,15.6
2018-05-01,15,16,11,3,37,16.4
2018-06-01,14,18,11,4,41,17.6
2018-07-01,13,14,9,3,35,14.8
2018-08-01,16,15,10,4,35,16.0
2018-09-01,16,17,10,4,40,17.4
2018-10-01,16,15,12,4,40,17.4
2018-11-01,17,20,12,4,42,19.0
2018-12-01,15,23,11,4,31,16.8
2019-01-01,16,29,11,4,41,20.2
2019-02-01,18,32,12,4,39,21.0
2019-03-01,16,24,11,3,39,18.6
2019-04-01,14,20,12,4,34,16.8
2019-05-01,14,20,12,4,37,17.4
2019-06-01,13,19,11,5,40,17.6
2019-07-01,13,29,11,5,42,20.0
2019-08-01,12,70,9,5,34,26.0
2019-09-01,14,40,11,6,46,23.4
2019-10-01,14,39,11,5,44,22.6
2019-11-01,16,29,11,5,41,20.4
